INFO | 2026-06-02 16:28:50,038 | succssesfuly readed 
WARNING | 2026-06-02 16:30:08,468 | open a new file 
INFO | 2026-06-02 17:18:36,862 | succssesfuly readed 
INFO | 2026-06-02 17:23:40,908 | succssesfuly readed 
INFO | 2026-06-02 17:27:05,505 | succssesfuly readed 
INFO | 2026-06-02 17:27:07,719 | succssesfuly readed 
INFO | 2026-06-02 17:27:24,536 | succssesfuly readed 
INFO | 2026-06-02 17:29:16,742 | succssesfuly readed 
INFO | 2026-06-02 17:30:36,562 | succssesfuly readed 
INFO | 2026-06-02 17:30:37,654 | succssesfuly readed 
INFO | 2026-06-02 17:37:27,905 | try to add a new solider 
INFO | 2026-06-02 17:37:27,905 | succssesfuly readed 
INFO | 2026-06-02 17:37:27,906 | solider {'name1': 'test2'} as aded 
INFO | 2026-06-02 17:37:27,907 | succsseful saved 
ERROR | 2026-06-02 18:09:38,966 | invalid key error:'full_name' 
INFO | 2026-06-02 18:18:42,968 | try to add a new solider 
INFO | 2026-06-02 18:19:43,517 | try to add a new solider 
INFO | 2026-06-02 18:19:43,518 | succssesfuly readed 
INFO | 2026-06-02 18:19:43,518 | solider {'full_name': 'moty', 'role': 'test', 'id': 9} as aded 
INFO | 2026-06-02 18:19:43,519 | succsseful saved 
INFO | 2026-06-02 18:19:44,557 | try to add a new solider 
INFO | 2026-06-02 18:19:44,557 | succssesfuly readed 
INFO | 2026-06-02 18:19:44,558 | solider {'full_name': 'moty', 'role': 'test', 'id': 9} as aded 
INFO | 2026-06-02 18:19:44,559 | succsseful saved 
INFO | 2026-06-02 18:20:05,438 | try to add a new solider 
ERROR | 2026-06-02 18:20:05,438 | invalid key error:'full_name' 
INFO | 2026-06-02 18:20:37,520 | try to add a new solider 
INFO | 2026-06-02 18:21:41,727 | try to add a new solider 
INFO | 2026-06-02 18:24:19,613 | try to add a new solider 
WARNING | 2026-06-02 18:24:19,613 | error 
INFO | 2026-06-02 20:59:47,685 | succssesfuly readed 
INFO | 2026-06-02 21:00:26,516 | try to add a new solider 
INFO | 2026-06-02 21:00:26,516 | succssesfuly readed 
INFO | 2026-06-02 21:00:26,517 | solider {'full_name': 'yossi', 'role': 'test', 'id': 8} as aded 
INFO | 2026-06-02 21:00:26,518 | succsseful saved 
INFO | 2026-06-02 21:23:31,472 | succssesfuly readed 
INFO | 2026-06-02 21:24:44,832 | succssesfuly readed 
INFO | 2026-06-02 21:25:07,099 | succssesfuly readed 
INFO | 2026-06-02 21:27:13,917 | succssesfuly readed 
INFO | 2026-06-02 21:27:23,933 | succssesfuly readed 
INFO | 2026-06-02 21:30:21,950 | succssesfuly readed 
INFO | 2026-06-02 21:30:21,951 | get solider sucssesfuly 
INFO | 2026-06-02 21:30:38,762 | succssesfuly readed 
INFO | 2026-06-02 21:30:38,763 | get solider sucssesfuly 
INFO | 2026-06-02 21:30:48,466 | succssesfuly readed 
INFO | 2026-06-02 21:32:55,275 | succssesfuly readed 
WARNING | 2026-06-02 21:32:55,276 | id not found 
INFO | 2026-06-02 21:33:07,424 | succssesfuly readed 
INFO | 2026-06-02 21:33:07,425 | get solider sucssesfuly 
INFO | 2026-06-02 21:33:45,170 | succssesfuly readed 
INFO | 2026-06-02 21:33:45,171 | get solider sucssesfuly 
INFO | 2026-06-02 21:33:47,261 | succssesfuly readed 
INFO | 2026-06-02 21:33:47,262 | get solider sucssesfuly 
INFO | 2026-06-02 21:48:29,575 | try to update a solider 
INFO | 2026-06-02 21:48:29,598 | succssesfuly readed 
INFO | 2026-06-02 21:48:29,600 | succsseful saved 
INFO | 2026-06-02 21:48:29,602 | soldier updated succssesfuly 
WARNING | 2026-06-02 21:48:29,605 | id not found 
INFO | 2026-06-02 21:49:16,804 | try to update a solider 
INFO | 2026-06-02 21:49:16,805 | succssesfuly readed 
INFO | 2026-06-02 21:49:16,806 | succsseful saved 
INFO | 2026-06-02 21:49:16,807 | soldier updated succssesfuly 
WARNING | 2026-06-02 21:49:16,808 | id not found 
INFO | 2026-06-02 21:50:03,714 | try to update a solider 
INFO | 2026-06-02 21:50:03,715 | succssesfuly readed 
WARNING | 2026-06-02 21:50:03,716 | id not found 
WARNING | 2026-06-02 21:50:03,716 | id not found 
INFO | 2026-06-02 21:50:03,717 | succsseful saved 
INFO | 2026-06-02 21:50:03,718 | soldier updated succssesfuly 
WARNING | 2026-06-02 21:50:03,719 | id not found 
INFO | 2026-06-02 21:50:23,729 | try to update a solider 
INFO | 2026-06-02 21:50:23,733 | succssesfuly readed 
